Iteration	Training Loss
0	9.210352897644043
1	8.93488597869873
2	8.45913028717041
3	12.4926118850708
4	8.214822769165039
5	9.731441497802734
6	8.296977043151855
7	8.09756088256836
8	8.019991874694824
9	7.8993988037109375
10	8.322121620178223
11	7.541752815246582
12	12.501378059387207
13	7.641800403594971
14	7.2758636474609375
15	7.782580852508545
16	7.754067897796631
17	8.640602111816406
18	7.740206241607666
19	7.174120903015137
20	7.735562324523926
21	7.64951753616333
22	7.627676963806152
23	7.711326599121094
24	7.30648136138916
25	7.75199556350708
26	7.52386999130249
27	7.499942779541016
28	7.426795482635498
29	7.352414131164551
30	7.39662504196167
31	7.58855676651001
32	6.839089870452881
33	8.883880615234375
34	7.493434906005859
35	7.1308817863464355
36	7.5187296867370605
37	7.531253337860107
38	7.09795618057251
39	6.48448371887207
40	7.638357162475586
41	7.3930511474609375
42	7.283454418182373
43	7.302377700805664
44	7.278570652008057
45	7.762740612030029
46	7.137903690338135
47	7.172874450683594
48	7.106388092041016
49	7.445441722869873
50	7.19447660446167
51	7.184008598327637
52	7.111080646514893
53	7.090937614440918
54	7.313914775848389
55	6.96728515625
56	7.962604522705078
57	7.215415000915527
58	7.10353946685791
59	7.1261396408081055
60	7.003955841064453
61	6.924985408782959
62	7.374849319458008
63	6.895618915557861
64	7.26864767074585
65	7.2100138664245605
66	7.114170074462891
67	6.924872875213623
68	7.016190052032471
69	7.145966053009033
70	6.896165370941162
71	12.873383522033691
72	6.932222366333008
73	8.015719413757324
74	7.284866809844971
75	7.0309882164001465
76	7.225110054016113
77	7.205272674560547
78	7.261270999908447
79	6.815966606140137
80	6.879096508026123
81	7.068171501159668
82	7.060027122497559
83	7.227499485015869
84	7.176468849182129
85	6.835381031036377
86	6.819843769073486
87	7.017505645751953
88	6.8356499671936035
89	6.959221363067627
90	7.120042324066162
91	7.148779392242432
92	6.959352493286133
93	6.9301276206970215
94	6.596691608428955
95	7.011229038238525
96	7.000309944152832
97	6.646420001983643
98	7.205733299255371
99	6.9854936599731445
100	6.8722028732299805
101	6.839974880218506
102	6.997890472412109
103	6.407981872558594
104	6.706900596618652
105	6.768277645111084
106	6.674296855926514
107	6.426752090454102
108	6.387357234954834
109	6.880538463592529
110	6.2798261642456055
111	6.286609172821045
112	6.897640228271484
113	6.753505229949951
114	6.906229019165039
115	6.953608989715576
116	6.799628734588623
117	6.922267913818359
118	6.8917927742004395
119	6.607110977172852
120	6.877307415008545
121	6.717519760131836
122	6.538090705871582
123	6.876319885253906
124	6.807900428771973
125	6.761929512023926
126	6.471685886383057
127	6.783595085144043
128	6.784570217132568
129	6.7480669021606445
130	6.4829583168029785
131	6.522108554840088
132	6.80250883102417
133	6.302170276641846
134	9.79167652130127
135	6.812292098999023
136	6.660099029541016
137	6.710427761077881
138	6.425436019897461
139	6.4862799644470215
140	6.301156997680664
141	6.85761022567749
142	6.945763111114502
143	6.6954522132873535
144	6.523265361785889
145	6.794693946838379
146	6.626309394836426
147	6.309950351715088
148	6.469509601593018
149	7.29464054107666
150	6.786698341369629
151	6.499022960662842
152	6.719665050506592
153	6.615261554718018
154	6.569057464599609
155	6.59804105758667
156	6.542928218841553
157	6.209433555603027
158	6.465487480163574
159	6.74879264831543
160	6.842987060546875
161	6.569025039672852
162	6.627091407775879
163	6.764678955078125
164	6.711264133453369
165	6.532895565032959
166	6.554427146911621
167	6.499671459197998
168	6.325223445892334
169	6.901768207550049
170	6.711730003356934
171	6.6392998695373535
172	6.48255729675293
173	6.667886257171631
174	6.626705646514893
175	6.853217601776123
176	6.766615390777588
177	6.506817817687988
178	6.37889289855957
179	6.580979824066162
180	6.60860538482666
181	6.7945237159729
182	6.701697826385498
183	6.289677619934082
184	6.5840864181518555
185	6.68773078918457
186	6.692134380340576
187	6.689698696136475
188	6.517510414123535
189	6.548572063446045
190	6.341880798339844
191	6.549842834472656
192	6.404341697692871
193	6.258145809173584
194	6.61623477935791
195	6.5046706199646
196	6.478259086608887
197	6.471798896789551
198	6.432382583618164
199	6.389063835144043
200	6.189151287078857
201	6.264199256896973
202	6.228527545928955
203	6.600064277648926
204	6.2234578132629395
205	6.277791500091553
206	6.6647047996521
207	6.4156646728515625
208	6.354925155639648
209	6.538609027862549
210	6.647153377532959
211	6.722949028015137
212	6.395450115203857
213	6.8080830574035645
214	6.108717441558838
215	5.595129013061523
216	7.50685453414917
217	5.961641311645508
218	6.482322692871094
219	6.2149858474731445
220	6.514172554016113
221	6.131420135498047
222	6.551985740661621
223	6.2064619064331055
224	6.457140922546387
225	6.531244277954102
226	6.507390022277832
227	6.480136871337891
228	6.626046180725098
229	6.511606216430664
230	6.310520172119141
231	6.610161781311035
232	6.1600661277771
233	6.657895565032959
234	6.361207962036133
235	6.0052971839904785
236	6.1670241355896
