Iteration	Training Loss
0	9.210342494419644
1	8.935463169642857
2	8.482262834821428
3	11.031516462053572
4	8.323142438616072
5	9.175461774553572
6	8.525048828125
7	7.829226422991072
8	8.051339285714286
9	8.139051339285714
10	7.968680943080357
11	8.12329310825893
12	7.369876534598214
13	10.725563616071428
14	7.317243303571429
15	8.283687220982143
16	7.631056082589286
17	8.274596121651786
18	7.688271484375
19	7.534991629464286
20	7.7555440848214285
21	7.28154296875
22	7.661471819196429
23	7.621443917410715
24	7.5233147321428575
25	7.359429408482143
26	8.904674246651785
27	7.355518973214286
28	7.585588727678571
29	7.420078822544643
30	7.957420479910715
31	7.408158482142857
32	7.3359814453125
33	7.621916852678571
34	7.188063616071428
35	7.4138330078125
36	7.398773018973214
37	7.1623828125
38	7.158683035714286
39	6.617621372767857
40	8.128533761160714
41	7.368533063616072
42	7.134232700892857
43	8.554454520089285
44	6.9595166015625
45	9.196952427455358
46	7.1595591517857144
47	7.506717354910714
48	7.372207728794643
49	7.392300502232143
50	8.511175362723215
51	7.118360770089286
52	7.080871930803571
53	6.995653599330357
54	7.527151227678571
55	6.939439174107143
56	8.146482979910715
57	7.230183454241072
58	7.130598493303571
59	7.1723563058035715
60	7.417420479910715
61	7.0518701171875
62	7.066167689732143
63	7.566595284598214
64	7.217028459821429
65	6.972240513392857
66	7.232101004464286
67	7.189624720982143
68	7.204614955357143
69	6.9665143694196425
70	6.354193638392857
71	16.131854073660715
72	7.591926618303572
73	6.982294921875
74	7.091094447544643
75	7.029836774553571
76	7.263825334821429
77	7.203292410714286
78	6.956568080357143
79	6.878479352678571
80	6.870885881696428
81	6.836604352678571
82	7.123264508928571
83	7.069135044642858
84	6.9606396484375
85	6.908469587053571
86	6.879105747767857
87	7.0223786272321425
88	6.90103515625
89	6.680084402901786
90	7.199139229910714
91	7.146024693080357
92	6.930703125
93	6.970676618303571
94	6.656259765625
95	6.857202845982143
96	6.883597237723214
97	6.720062779017857
98	6.9104715401785715
99	6.971462053571429
100	6.9739341517857145
101	6.857520926339285
102	7.020724051339286
103	6.505211356026786
104	6.776286272321428
105	6.903607003348214
106	6.705505022321429
107	6.528113839285714
108	6.493818359375
109	6.357219587053572
110	5.936443219866072
111	7.516142578125
112	6.946278599330357
113	6.868880440848215
114	7.024596819196429
115	6.8861593191964285
116	6.9150209263392854
117	7.045724748883929
118	6.878724888392857
119	6.577956194196428
120	6.9878076171875
121	6.742619280133929
122	6.664815848214285
123	6.938952985491071
124	6.838692103794643
125	6.768255440848214
126	6.4175892857142856
127	6.716272321428572
128	6.462018694196429
129	6.891775948660714
130	6.596541573660715
131	6.432015206473214
132	6.786321149553571
133	6.236157924107143
134	9.849061104910714
135	6.823106166294643
136	6.582707868303571
137	6.815676618303572
138	6.653088727678571
139	6.511021205357143
140	6.329695870535715
141	6.747600446428572
142	6.868588169642857
143	6.678929966517857
144	6.439697265625
145	6.7912416294642854
146	6.5656556919642854
147	6.369077845982143
148	6.444790736607143
149	7.01658203125
150	6.8221484375
151	6.534372209821429
152	6.469390345982143
153	6.5638044084821425
154	6.644368024553572
155	6.5712646484375
156	6.503935546875
157	6.171590401785714
158	6.502504185267857
159	6.855544782366072
160	6.9366057477678575
161	6.567782505580357
162	6.604719587053571
163	6.755069056919643
164	6.748005719866072
165	6.5232373046875
166	6.553889508928571
167	6.516456473214285
168	6.3890248325892856
169	6.7099755859375
170	6.494183872767858
171	6.609485909598214
172	6.3566057477678575
173	6.676577845982143
174	6.610827287946429
175	6.837777622767857
176	6.780414341517857
177	6.577903180803571
178	6.437311662946429
179	6.580680803571428
180	6.477264229910714
181	6.777700892857143
182	6.768094308035714
183	6.235920061383928
184	6.440997488839286
185	6.750866350446429
186	6.623380301339286
187	6.538392857142857
188	6.412290736607143
189	6.537109375
190	6.294681222098214
191	6.530814732142857
192	6.3909033203125
193	6.19365234375
194	6.5637939453125
195	6.501760602678571
196	6.489955357142857
197	6.488958565848214
198	6.434573102678572
199	6.343129185267857
200	6.167702287946429
201	6.20904296875
202	6.182547433035714
203	6.595280412946429
204	6.2986662946428575
205	6.112410016741071
206	6.539294084821429
207	6.515486886160715
208	6.419069475446428
209	6.451833844866071
210	6.628803013392857
211	6.809778180803572
212	6.407278180803571
213	6.709582868303571
214	6.090994698660714
215	5.560027553013393
216	7.2146707589285715
217	5.910803571428572
218	6.441503208705357
219	6.221615513392857
220	6.486932198660714
221	6.095213448660714
222	6.485867047991071
223	6.2594001116071425
224	6.5341476004464285
225	6.5137060546875
226	6.476120256696428
227	6.499670758928572
228	6.652578125
229	6.502943638392857
230	6.328448660714286
231	6.6836774553571425
232	6.1799637276785715
233	6.620653599330357
234	6.429730050223214
235	5.977537667410714
236	6.152991768973214
237	5.951530412946428
238	6.248942522321428
239	6.407503487723214
240	6.626647600446429
241	6.464485212053572
242	6.234995814732143
243	6.339783063616071
244	6.371413225446428
245	6.155467354910714
246	6.645246930803571
247	6.261878487723214
248	6.301291155133929
249	6.426950334821429
250	6.293570033482143
251	6.2904345703125
252	6.4066943359375
253	6.428129185267857
254	6.7105705915178575
255	6.621484375
256	6.358965541294642
257	6.342268415178571
258	6.233908342633929
259	6.330735212053572
260	6.303618861607143
261	6.543737444196428
262	6.171960797991072
263	6.558800223214286
264	6.39228515625
265	6.179317801339286
266	6.350989118303572
267	6.438357979910714
268	6.146277901785714
269	6.0840680803571425
270	6.3185386439732145
271	6.286385323660714
272	6.4208447265625
273	6.504534040178571
274	6.456114676339285
275	5.84844482421875
276	6.420244140625
277	6.526605050223214
278	6.430562220982143
279	6.429296875
280	6.275314592633928
281	6.030860072544643
282	6.958595145089285
283	6.297586495535715
284	5.840102887834822
285	6.768067801339286
286	6.360191824776786
287	6.664430803571428
288	6.387794363839285
289	6.488766043526786
290	6.176521344866072
291	6.069149693080357
292	6.768208705357143
293	6.020969587053571
294	6.2429345703125
